sitename;cluster;lon;lat;elv;year_start;year_end;years_data;classid;whc;c4;koeppen_code;kgnumber;koeppen_code_extr
AR-Vir;cGR;-56.1886;-28.2395;1048;2009;2012;4;ENF;302.4275513;NA;Csb;9;Csb
AU-Ade;cGR;131.1178;-13.0769;1048;2007;2009;3;WSA;269.2186584;NA;Aw;4;Bwh
AU-ASM;cDD;133.249;-22.283;1048;2010;2013;4;ENF;214.5842743;NA;BSh;7;Bsk
AU-DaP;cDD;131.3181;-14.0633;1048;2007;2013;7;GRA;294.6303406;NA;Aw;4;Bwh
AU-DaS;cGR;131.3881;-14.1593;1048;2008;2014;7;SAV;249.2509155;NA;Aw;4;Bwh
AU-Dry;cGR;132.3706;-15.2588;1048;2008;2014;7;SAV;239.1561279;NA;Aw;4;Bwh
AU-How;cGR;131.1523;-12.4943;1048;2001;2014;14;WSA;307.5285645;TRUE;Aw;4;Bwh
AU-Stp;cDD;133.3502;-17.1507;1048;2008;2014;7;GRA;283.4158936;NA;BSh;5;Bwk
AU-Wom;cLS;144.0944;-37.4222;705;2010;2012;3;EBF;189.5709991;NA;Cfb;10;Csc
FR-Fon;cLS;2.7801;48.4764;103;2005;2014;10;DBF;335.1929016;NA;Cfb;10;Csc
FR-LBr;cGR;-0.7693;44.7171;61;1996;2008;13;ENF;269.5765686;NA;Cfb;10;Csc
FR-Pue;cGR;3.5958;43.7414;270;2000;2014;15;EBF;239.649292;NA;Csa;12;Cwb
IT-Cpz;cGR;12.3761;41.7052;68;1997;2009;13;EBF;305.0664368;NA;Csa;12;Cwb
IT-Ro1;cGR;11.93;42.4081;235;2000;2008;9;DBF;269.2074585;NA;Csa;12;Cwb
IT-SRo;cGR;10.2844;43.7279;6;1999;2012;14;ENF;286.2259827;NA;Csa;12;Cwb
NL-Loo;cLS;5.7436;52.1666;25;1996;2013;18;ENF;71.05941772;NA;Cfb;10;Csc
RU-Fyo;cLS;32.9221;56.4615;265;1998;2014;17;ENF;301.4570923;NA;Dfb;19;Dsc
SD-Dem;cDD;30.4783;13.2829;500;2005;2009;5;SAV;200.0503845;NA;BWh;7;Bsk
US-MMS;cLS;-86.4131;39.3232;275;1999;2014;16;DBF;343.0158081;NA;Cfa;9;Csb
US-SRG;cDD;-110.8277;31.7894;1291;2008;2014;7;GRA;154.8731995;NA;BSk;12;Cwb
US-SRM;cDD;-110.8661;31.8214;1120;2004;2014;11;WSA;201.2453918;NA;BSk;6;Bsh
US-UMB;cLS;-84.7138;45.5598;234;2000;2014;15;DBF;174.0702515;NA;Dfb;19;Dsc
US-UMd;cLS;-84.6975;45.5625;239;2007;2014;8;DBF;235.3118286;NA;Dfb;19;Dsc
IT-Col;cLS;13.5881;41.8494;1560;1996;2014;19;DBF;267.9767456;NA;Cfa;10;Csc
AU-Whr;cGR;145.0294;-36.6732;1048;2011;2014;4;EBF;271.4973755;NA;Cfb;9;Csb
AU-Wom;cLS;144.0944;-37.4222;705;2010;2012;3;EBF;189.5709991;NA;Cfb;10;Csc
DE-Hai;cLS;10.453;51.0792;430;2000;2012;13;DBF;282.6673584;NA;Cfb;10;Csc
US-WCr;cLS;-90.0799;45.8059;520;1999;2014;16;DBF;264.9615173;NA;Dfb;19;Dsc
ZM-Mon;cDD;23.2528;-15.4378;1053;2000;2009;10;DBF;132.6269684;NA;Aw;4;Bwh
